zBasic.prg;5;99;OnInput;ZBasic;;JsEvent::0#;
zBasic.prg;5;100;OnInvalid;ZBasic;;JsEvent::0#;
zBasic.prg;5;78;OnKeyDown;ZBasic;;JsEvent::0#;
zBasic.prg;5;79;OnKeyPress;ZBasic;;JsEvent::0#;
zBasic.prg;5;80;OnKeyUp;ZBasic;;JsEvent::0#;
zBasic.prg;5;71;OnMouseDown;ZBasic;;JsEvent::0#;
zBasic.prg;5;72;OnMouseMove;ZBasic;;JsEvent::0#;
zBasic.prg;5;73;OnMouseOut;ZBasic;;JsEvent::0#;
zBasic.prg;5;74;OnMouseOver;ZBasic;;JsEvent::0#;
zBasic.prg;5;75;OnMouseUp;ZBasic;;JsEvent::0#;
zBasic.prg;5;93;OnPaste;ZBasic;;JsEvent::0#;
zBasic.prg;5;67;OnPreprocess;ZBasic;;oSender::0#;
zBasic.prg;5;101;OnReset;ZBasic;;JsEvent::0#;
zBasic.prg;5;89;OnScoll;ZBasic;;JsEvent::0#;
zBasic.prg;5;102;OnSearch;ZBasic;;JsEvent::0#;
zBasic.prg;5;103;OnSelect;ZBasic;;JsEvent::0#;
zBasic.prg;5;104;OnSubmit;ZBasic;;JsEvent::0#;
zBasic.prg;5;106;OnToggle;ZBasic;;JsEvent::0#;
zBasic.prg;5;76;OnWheel;ZBasic;;JsEvent::0#;
zBasic.prg;6;19;oOwner;ZBasic;;;0
zBasic.prg;6;18;oParent;ZBasic;;;0
zBasic.prg;6;45;oStyle;ZBasic;WStyle;;0
zBasic.prg;4;50;SwapClass;ZBasic;;cOldClass::0#cNewClass::0#;lvalue
zBasic.prg;4;51;ToggleClass;ZBasic;;cOldClass::0#cNewClass::0#;
zBasicCheckbox.prg;3;12;;ZBasicCheckbox;;;WInput
zBasicCheckbox.prg;6;14;cValue;ZBasicCheckbox;~""?;;4
zBasicCheckbox.prg;6;15;lChecked;ZBasicCheckbox;~.F.?;;0
zBasicContext.prg;3;12;;ZBasicContext;;;WContext
zBasicContext.prg;6;24;aDarkColors;ZBasicContext;~{"#00001a","DarkSlateBlue","white","LightGray","Navy","cornflowerblue","white","MediumVioletRed","HotPink","DimGray","Gold","PaleGoldenrod","Black","LightSteelBlue",?;;0
zBasicContext.prg;6;30;aLightColors;ZBasicContext;~{"white","whitesmoke","black","gray","Tan","Wheat","black","Teal","LightSeaGreen","DimGray","SkyBlue","LightBlue","Black","Bisque",?;;0
zBasicContext.prg;6;14;cName;ZBasicContext;~"xa_BasicContext"?;;8
